census_tract_number,state,county,tract_type,acs_data_source
12011041200,Florida,Broward,Low-Income Community,2011-2015
12011041300,Florida,Broward,Low-Income Community,2011-2015
12011041400,Florida,Broward,Low-Income Community,2011-2015
12011041500,Florida,Broward,Low-Income Community,2011-2015
12011041600,Florida,Broward,Low-Income Community,2011-2015
12011041700,Florida,Broward,Low-Income Community,2011-2015
12011050207,Florida,Broward,Low-Income Community,2011-2015
12011050301,Florida,Broward,Low-Income Community,2011-2015
12011050308,Florida,Broward,Low-Income Community,2011-2015
12011050310,Florida,Broward,Low-Income Community,2011-2015
12011050311,Florida,Broward,Low-Income Community,2011-2015
12011050312,Florida,Broward,Low-Income Community,2011-2015
12011050702,Florida,Broward,Low-Income Community,2011-2015
12011060303,Florida,Broward,Low-Income Community,2011-2015
12011080500,Florida,Broward,Low-Income Community,2011-2015
12011091902,Florida,Broward,Low-Income Community,2011-2015
12011100201,Florida,Broward,Low-Income Community,2011-2015
12011100300,Florida,Broward,Low-Income Community,2011-2015
12011100502,Florida,Broward,Low-Income Community,2011-2015
12011100700,Florida,Broward,Low-Income Community,2011-2015
12011100801,Florida,Broward,Low-Income Community,2011-2015
12011110501,Florida,Broward,Low-Income Community,2011-2015
12013010300,Florida,Calhoun,Low-Income Community,2011-2015
12015010100,Florida,Charlotte,Low-Income Community,2011-2015
12015020700,Florida,Charlotte,Low-Income Community,2011-2015
12015030401,Florida,Charlotte,Low-Income Community,2011-2015
12017450202,Florida,Citrus,Low-Income Community,2011-2015
12017450800,Florida,Citrus,Low-Income Community,2011-2015
12017451502,Florida,Citrus,Low-Income Community,2011-2015
12019030102,Florida,Clay,Low-Income Community,2011-2015
12019030104,Florida,Clay,Low-Income Community,2011-2015
12021010411,Florida,Collier,Low-Income Community,2011-2015
12021010802,Florida,Collier,Low-Income Community,2011-2015
12021011205,Florida,Collier,Low-Income Community,2011-2015
12021011301,Florida,Collier,Low-Income Community,2011-2015
12021011400,Florida,Collier,Low-Income Community,2011-2015
12023110300,Florida,Columbia,Low-Income Community,2011-2015
12027010200,Florida,DeSoto,Low-Income Community,2011-2015
12027010301,Florida,DeSoto,Low-Income Community,2011-2015
12029970101,Florida,Dixie,Low-Income Community,2011-2015
12031000600,Florida,Duval,Low-Income Community,2011-2015
12031001000,Florida,Duval,Low-Income Community,2011-2015
12031001300,Florida,Duval,Low-Income Community,2011-2015
12031001400,Florida,Duval,Low-Income Community,2011-2015
12031001600,Florida,Duval,Low-Income Community,2011-2015
12031002600,Florida,Duval,Low-Income Community,2011-2015
12031002901,Florida,Duval,Low-Income Community,2011-2015
12031010700,Florida,Duval,Low-Income Community,2011-2015
12031011000,Florida,Duval,Low-Income Community,2011-2015
12031011300,Florida,Duval,Low-Income Community,2011-2015
12031011500,Florida,Duval,Low-Income Community,2011-2015
12031011600,Florida,Duval,Low-Income Community,2011-2015
12031011800,Florida,Duval,Low-Income Community,2011-2015
12031012200,Florida,Duval,Low-Income Community,2011-2015
12031012400,Florida,Duval,Low-Income Community,2011-2015
12031012601,Florida,Duval,Low-Income Community,2011-2015
12031012602,Florida,Duval,Low-Income Community,2011-2015
12031013800,Florida,Duval,Low-Income Community,2011-2015
12031013901,Florida,Duval,Low-Income Community,2011-2015
12031015502,Florida,Duval,Low-Income Community,2011-2015
12031017400,Florida,Duval,Low-Income Community,2011-2015
12033000400,Florida,Escambia,Low-Income Community,2011-2015
12033001300,Florida,Escambia,Low-Income Community,2011-2015
12033001600,Florida,Escambia,Low-Income Community,2011-2015
12033001700,Florida,Escambia,Low-Income Community,2011-2015
12033001900,Florida,Escambia,Low-Income Community,2011-2015
12033002803,Florida,Escambia,Low-Income Community,2011-2015
12033004000,Florida,Escambia,Low-Income Community,2011-2015
12035060213,Florida,Flagler,Low-Income Community,2011-2015
12037970200,Florida,Franklin,Low-Income Community,2011-2015
12039020102,Florida,Gadsden,Low-Income Community,2011-2015
12041950100,Florida,Gilchrist,Low-Income Community,2011-2015
12041950201,Florida,Gilchrist,Low-Income Community,2011-2015
12043000200,Florida,Glades,Low-Income Community,2011-2015
12043000300,Florida,Glades,Low-Income Community,2011-2015
12045960200,Florida,Gulf,Low-Income Community,2011-2015
12047960100,Florida,Hamilton,Low-Income Community,2011-2015
12047960300,Florida,Hamilton,Low-Income Community,2011-2015
12049970102,Florida,Hardee,Low-Income Community,2011-2015
12051000200,Florida,Hendry,Low-Income Community,2011-2015
12053040400,Florida,Hernando,Low-Income Community,2011-2015
12053040502,Florida,Hernando,Low-Income Community,2011-2015
12053041104,Florida,Hernando,Low-Income Community,2011-2015
12053041204,Florida,Hernando,Low-Income Community,2011-2015
12053041302,Florida,Hernando,Low-Income Community,2011-2015
12055960103,Florida,Highlands,Low-Income Community,2011-2015
12055960300,Florida,Highlands,Low-Income Community,2011-2015
12055961200,Florida,Highlands,Low-Income Community,2011-2015
12055961700,Florida,Highlands,Low-Income Community,2011-2015
12057000102,Florida,Hillsborough,Low-Income Community,2011-2015
12057000201,Florida,Hillsborough,Low-Income Community,2011-2015
12057000202,Florida,Hillsborough,Low-Income Community,2011-2015
12057000300,Florida,Hillsborough,Low-Income Community,2011-2015
12057000700,Florida,Hillsborough,Low-Income Community,2011-2015
12057001002,Florida,Hillsborough,Low-Income Community,2011-2015
12057001800,Florida,Hillsborough,Low-Income Community,2011-2015
12057002600,Florida,Hillsborough,Low-Income Community,2011-2015
12057002900,Florida,Hillsborough,Low-Income Community,2011-2015
12057003000,Florida,Hillsborough,Low-Income Community,2011-2015
12057003100,Florida,Hillsborough,Low-Income Community,2011-2015
12057003200,Florida,Hillsborough,Low-Income Community,2011-2015
12057003300,Florida,Hillsborough,Low-Income Community,2011-2015
12057003400,Florida,Hillsborough,Low-Income Community,2011-2015
12057003500,Florida,Hillsborough,Low-Income Community,2011-2015
12057003600,Florida,Hillsborough,Low-Income Community,2011-2015
12057003900,Florida,Hillsborough,Low-Income Community,2011-2015
12057004000,Florida,Hillsborough,Low-Income Community,2011-2015
12057004200,Florida,Hillsborough,Low-Income Community,2011-2015
12057004300,Florida,Hillsborough,Low-Income Community,2011-2015
12057004500,Florida,Hillsborough,Low-Income Community,2011-2015
12057005101,Florida,Hillsborough,Low-Income Community,2011-2015
12057010203,Florida,Hillsborough,Low-Income Community,2011-2015
12057010805,Florida,Hillsborough,Low-Income Community,2011-2015
12057010815,Florida,Hillsborough,Low-Income Community,2011-2015
12057010816,Florida,Hillsborough,Low-Income Community,2011-2015
12057010818,Florida,Hillsborough,Low-Income Community,2011-2015
12057012002,Florida,Hillsborough,Low-Income Community,2011-2015
12057013503,Florida,Hillsborough,Low-Income Community,2011-2015
12057013504,Florida,Hillsborough,Low-Income Community,2011-2015
12057013505,Florida,Hillsborough,Low-Income Community,2011-2015
12057013604,Florida,Hillsborough,Low-Income Community,2011-2015
12059960200,Florida,Holmes,Low-Income Community,2011-2015
12061050904,Florida,Indian River,Low-Income Community,2011-2015
12063210200,Florida,Jackson,Low-Income Community,2011-2015
12063210500,Florida,Jackson,Low-Income Community,2011-2015
12065250101,Florida,Jefferson,Low-Income Community,2011-2015
12067960100,Florida,Lafayette,Low-Income Community,2011-2015
12069030102,Florida,Lake,Low-Income Community,2011-2015
12069030107,Florida,Lake,Low-Income Community,2011-2015
12069030206,Florida,Lake,Low-Income Community,2011-2015
12069030502,Florida,Lake,Low-Income Community,2011-2015
12069030504,Florida,Lake,Low-Income Community,2011-2015
12069031205,Florida,Lake,Low-Income Community,2011-2015
12071000502,Florida,Lee,Low-Income Community,2011-2015
12071000503,Florida,Lee,Low-Income Community,2011-2015
12071000600,Florida,Lee,Low-Income Community,2011-2015
12071001910,Florida,Lee,Low-Income Community,2011-2015
12071010201,Florida,Lee,Low-Income Community,2011-2015
12071010302,Florida,Lee,Low-Income Community,2011-2015
12071010307,Florida,Lee,Low-Income Community,2011-2015
12071020201,Florida,Lee,Low-Income Community,2011-2015
12071020300,Florida,Lee,Low-Income Community,2011-2015
12071020502,Florida,Lee,Low-Income Community,2011-2015
12071040122,Florida,Lee,Low-Income Community,2011-2015
12071040308,Florida,Lee,Low-Income Community,2011-2015
12071040313,Florida,Lee,Low-Income Community,2011-2015
12071040314,Florida,Lee,Low-Income Community,2011-2015
12071050103,Florida,Lee,Low-Income Community,2011-2015
12073000400,Florida,Leon,Low-Income Community,2011-2015
12073000500,Florida,Leon,Low-Income Community,2011-2015
12073000600,Florida,Leon,Low-Income Community,2011-2015
12073001002,Florida,Leon,Low-Income Community,2011-2015
12073001101,Florida,Leon,Low-Income Community,2011-2015
12073001401,Florida,Leon,Low-Income Community,2011-2015
12073002003,Florida,Leon,Low-Income Community,2011-2015
12073002005,Florida,Leon,Low-Income Community,2011-2015
12075970101,Florida,Levy,Low-Income Community,2011-2015
12075970102,Florida,Levy,Low-Income Community,2011-2015
12077950200,Florida,Liberty,Low-Income Community,2011-2015
12079110302,Florida,Madison,Low-Income Community,2011-2015
12081000103,Florida,Manatee,Low-Income Community,2011-2015
12081000105,Florida,Manatee,Low-Income Community,2011-2015
12081000106,Florida,Manatee,Low-Income Community,2011-2015
12081000306,Florida,Manatee,Low-Income Community,2011-2015
12081000601,Florida,Manatee,Low-Income Community,2011-2015
12081000703,Florida,Manatee,Low-Income Community,2011-2015
12083000401,Florida,Marion,Low-Income Community,2011-2015
12083000601,Florida,Marion,Low-Income Community,2011-2015
12083001204,Florida,Marion,Low-Income Community,2011-2015
12083001401,Florida,Marion,Low-Income Community,2011-2015
12083001500,Florida,Marion,Low-Income Community,2011-2015
12083001800,Florida,Marion,Low-Income Community,2011-2015
12083001900,Florida,Marion,Low-Income Community,2011-2015
12083002002,Florida,Marion,Low-Income Community,2011-2015
12083002602,Florida,Marion,Low-Income Community,2011-2015
12085000501,Florida,Martin,Low-Income Community,2011-2015
12085001801,Florida,Martin,Low-Income Community,2011-2015
12086000109,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000134,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000206,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000209,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000404,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000405,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000408,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000409,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000501,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000807,Florida,Miami-Dade,Low-Income Community,2011-2015
12086000903,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001002,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001004,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001005,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001006,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001401,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001402,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001501,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001502,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001605,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001606,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001701,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001702,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001801,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001802,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001803,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001901,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001903,Florida,Miami-Dade,Low-Income Community,2011-2015
12086001904,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002001,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002003,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002004,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002201,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002300,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002402,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002404,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002501,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002502,Florida,Miami-Dade,Low-Income Community,2011-2015
12086002702,Florida,Miami-Dade,Low-Income Community,2011-2015
12086003100,Florida,Miami-Dade,Low-Income Community,2011-2015
12086003400,Florida,Miami-Dade,Low-Income Community,2011-2015
12086003601,Florida,Miami-Dade,Low-Income Community,2011-2015
12086005502,Florida,Miami-Dade,Low-Income Community,2011-2015
12086005701,Florida,Miami-Dade,Low-Income Community,2011-2015
12086007200,Florida,Miami-Dade,Low-Income Community,2011-2015
12086007603,Florida,Miami-Dade,Low-Income Community,2011-2015
12086008208,Florida,Miami-Dade,Low-Income Community,2011-2015
12086008304,Florida,Miami-Dade,Low-Income Community,2011-2015
12086008309,Florida,Miami-Dade,Low-Income Community,2011-2015
12086009100,Florida,Miami-Dade,Low-Income Community,2011-2015
12086009307,Florida,Miami-Dade,Low-Income Community,2011-2015
12086009308,Florida,Miami-Dade,Low-Income Community,2011-2015
12086009400,Florida,Miami-Dade,Low-Income Community,2011-2015
12086009807,Florida,Miami-Dade,Low-Income Community,2011-2015
12086009904,Florida,Miami-Dade,Low-Income Community,2011-2015
12086010001,Florida,Miami-Dade,Low-Income Community,2011-2015
12086010011,Florida,Miami-Dade,Low-Income Community,2011-2015
12086010015,Florida,Miami-Dade,Low-Income Community,2011-2015
12086010016,Florida,Miami-Dade,Low-Income Community,2011-2015
12086010609,Florida,Miami-Dade,Low-Income Community,2011-2015
12086011001,Florida,Miami-Dade,Low-Income Community,2011-2015
12086011005,Florida,Miami-Dade,Low-Income Community,2011-2015
12086011101,Florida,Miami-Dade,Low-Income Community,2011-2015
12086011300,Florida,Miami-Dade,Low-Income Community,2011-2015
12086011403,Florida,Miami-Dade,Low-Income Community,2011-2015
12086013400,Florida,Miami-Dade,Low-Income Community,2011-2015
12086980800,Florida,Miami-Dade,Low-Income Community,2011-2015
12087971100,Florida,Monroe,Low-Income Community,2011-2015
12089050302,Florida,Nassau,Low-Income Community,2011-2015
12089050303,Florida,Nassau,Low-Income Community,2011-2015
12091021900,Florida,Okaloosa,Low-Income Community,2011-2015
12093910300,Florida,Okeechobee,Low-Income Community,2011-2015
12093910401,Florida,Okeechobee,Low-Income Community,2011-2015
12095010400,Florida,Orange,Low-Income Community,2011-2015
12095010500,Florida,Orange,Low-Income Community,2011-2015
12095011701,Florida,Orange,Low-Income Community,2011-2015
12095011702,Florida,Orange,Low-Income Community,2011-2015
12095012000,Florida,Orange,Low-Income Community,2011-2015
12095012100,Florida,Orange,Low-Income Community,2011-2015
12095012202,Florida,Orange,Low-Income Community,2011-2015
12095012304,Florida,Orange,Low-Income Community,2011-2015
12095012305,Florida,Orange,Low-Income Community,2011-2015
12095012307,Florida,Orange,Low-Income Community,2011-2015
12095012402,Florida,Orange,Low-Income Community,2011-2015
12095013402,Florida,Orange,Low-Income Community,2011-2015
12095013406,Florida,Orange,Low-Income Community,2011-2015
12095014605,Florida,Orange,Low-Income Community,2011-2015
12095014608,Florida,Orange,Low-Income Community,2011-2015
12095014904,Florida,Orange,Low-Income Community,2011-2015
12095015202,Florida,Orange,Low-Income Community,2011-2015
12095016724,Florida,Orange,Low-Income Community,2011-2015
12095017600,Florida,Orange,Low-Income Community,2011-2015
12095018000,Florida,Orange,Low-Income Community,2011-2015
12095018300,Florida,Orange,Low-Income Community,2011-2015
12095018400,Florida,Orange,Low-Income Community,2011-2015
12095018500,Florida,Orange,Low-Income Community,2011-2015
12095018700,Florida,Orange,Low-Income Community,2011-2015
12097041100,Florida,Osceola,Low-Income Community,2011-2015
12097042300,Florida,Osceola,Low-Income Community,2011-2015
12097042701,Florida,Osceola,Low-Income Community,2011-2015
12097042900,Florida,Osceola,Low-Income Community,2011-2015
12097043500,Florida,Osceola,Low-Income Community,2011-2015
12099001302,Florida,Palm Beach,Low-Income Community,2011-2015
12099001402,Florida,Palm Beach,Low-Income Community,2011-2015
12099001403,Florida,Palm Beach,Low-Income Community,2011-2015
12099001404,Florida,Palm Beach,Low-Income Community,2011-2015
12099001600,Florida,Palm Beach,Low-Income Community,2011-2015
12099001700,Florida,Palm Beach,Low-Income Community,2011-2015
12099001801,Florida,Palm Beach,Low-Income Community,2011-2015
12099001911,Florida,Palm Beach,Low-Income Community,2011-2015
12099002200,Florida,Palm Beach,Low-Income Community,2011-2015
12099003102,Florida,Palm Beach,Low-Income Community,2011-2015
12099004009,Florida,Palm Beach,Low-Income Community,2011-2015
12099004201,Florida,Palm Beach,Low-Income Community,2011-2015
12099005102,Florida,Palm Beach,Low-Income Community,2011-2015
12099005701,Florida,Palm Beach,Low-Income Community,2011-2015
12099006100,Florida,Palm Beach,Low-Income Community,2011-2015
12099006700,Florida,Palm Beach,Low-Income Community,2011-2015
12099006801,Florida,Palm Beach,Low-Income Community,2011-2015
12099006802,Florida,Palm Beach,Low-Income Community,2011-2015
12099007746,Florida,Palm Beach,Low-Income Community,2011-2015
12099007833,Florida,Palm Beach,Low-Income Community,2011-2015
12099008001,Florida,Palm Beach,Low-Income Community,2011-2015
12099008002,Florida,Palm Beach,Low-Income Community,2011-2015
12099008201,Florida,Palm Beach,Low-Income Community,2011-2015
12099008202,Florida,Palm Beach,Low-Income Community,2011-2015
12099008301,Florida,Palm Beach,Low-Income Community,2011-2015
12099008302,Florida,Palm Beach,Low-Income Community,2011-2015
12101030102,Florida,Pasco,Low-Income Community,2011-2015
12101030407,Florida,Pasco,Low-Income Community,2011-2015
12101030410,Florida,Pasco,Low-Income Community,2011-2015
12101030903,Florida,Pasco,Low-Income Community,2011-2015
12101031013,Florida,Pasco,Low-Income Community,2011-2015
12101031102,Florida,Pasco,Low-Income Community,2011-2015
12101031206,Florida,Pasco,Low-Income Community,2011-2015
12101031405,Florida,Pasco,Low-Income Community,2011-2015
12101031406,Florida,Pasco,Low-Income Community,2011-2015
12101031408,Florida,Pasco,Low-Income Community,2011-2015
12101031807,Florida,Pasco,Low-Income Community,2011-2015
12101031809,Florida,Pasco,Low-Income Community,2011-2015
12101032803,Florida,Pasco,Low-Income Community,2011-2015
12101032904,Florida,Pasco,Low-Income Community,2011-2015
12101033007,Florida,Pasco,Low-Income Community,2011-2015
12101033008,Florida,Pasco,Low-Income Community,2011-2015
12101033011,Florida,Pasco,Low-Income Community,2011-2015
12103020500,Florida,Pinellas,Low-Income Community,2011-2015
12103020600,Florida,Pinellas,Low-Income Community,2011-2015
12103020800,Florida,Pinellas,Low-Income Community,2011-2015
12103021200,Florida,Pinellas,Low-Income Community,2011-2015
12103021600,Florida,Pinellas,Low-Income Community,2011-2015
12103021900,Florida,Pinellas,Low-Income Community,2011-2015
12103024510,Florida,Pinellas,Low-Income Community,2011-2015
12103024602,Florida,Pinellas,Low-Income Community,2011-2015
12103025115,Florida,Pinellas,Low-Income Community,2011-2015
12103025305,Florida,Pinellas,Low-Income Community,2011-2015
12103025417,Florida,Pinellas,Low-Income Community,2011-2015
12103025602,Florida,Pinellas,Low-Income Community,2011-2015
12103025603,Florida,Pinellas,Low-Income Community,2011-2015
12103025900,Florida,Pinellas,Low-Income Community,2011-2015
12103027402,Florida,Pinellas,Low-Income Community,2011-2015
12103028700,Florida,Pinellas,Low-Income Community,2011-2015
12105010900,Florida,Polk,Low-Income Community,2011-2015
12105011000,Florida,Polk,Low-Income Community,2011-2015
12105011100,Florida,Polk,Low-Income Community,2011-2015
12105011202,Florida,Polk,Low-Income Community,2011-2015
12105011204,Florida,Polk,Low-Income Community,2011-2015
12105011501,Florida,Polk,Low-Income Community,2011-2015
12105011721,Florida,Polk,Low-Income Community,2011-2015
12105012305,Florida,Polk,Low-Income Community,2011-2015
12105012804,Florida,Polk,Low-Income Community,2011-2015
12105013002,Florida,Polk,Low-Income Community,2011-2015
12105013300,Florida,Polk,Low-Income Community,2011-2015
12105013500,Florida,Polk,Low-Income Community,2011-2015
12105013701,Florida,Polk,Low-Income Community,2011-2015
12105014301,Florida,Polk,Low-Income Community,2011-2015
12105014501,Florida,Polk,Low-Income Community,2011-2015
12105015702,Florida,Polk,Low-Income Community,2011-2015
12105016002,Florida,Polk,Low-Income Community,2011-2015
12105016100,Florida,Polk,Low-Income Community,2011-2015
12105016400,Florida,Polk,Low-Income Community,2011-2015
12107950800,Florida,Putnam,Low-Income Community,2011-2015
12107950900,Florida,Putnam,Low-Income Community,2011-2015
12107951401,Florida,Putnam,Low-Income Community,2011-2015
12109020400,Florida,St. Johns,Low-Income Community,2011-2015
12109021003,Florida,St. Johns,Low-Income Community,2011-2015
12111380200,Florida,St. Lucie,Low-Income Community,2011-2015
12111380300,Florida,St. Lucie,Low-Income Community,2011-2015
12111380901,Florida,St. Lucie,Low-Income Community,2011-2015
12111382009,Florida,St. Lucie,Low-Income Community,2011-2015
12113010600,Florida,Santa Rosa,Low-Income Community,2011-2015
12115000102,Florida,Sarasota,Low-Income Community,2011-2015
12115000200,Florida,Sarasota,Low-Income Community,2011-2015
12115000300,Florida,Sarasota,Low-Income Community,2011-2015
12115000406,Florida,Sarasota,Low-Income Community,2011-2015
12115002721,Florida,Sarasota,Low-Income Community,2011-2015
12117020102,Florida,Seminole,Low-Income Community,2011-2015
12117020401,Florida,Seminole,Low-Income Community,2011-2015
12117020901,Florida,Seminole,Low-Income Community,2011-2015
12117022001,Florida,Seminole,Low-Income Community,2011-2015
12119910602,Florida,Sumter,Low-Income Community,2011-2015
12119911000,Florida,Sumter,Low-Income Community,2011-2015
12121970301,Florida,Suwannee,Low-Income Community,2011-2015
12121970500,Florida,Suwannee,Low-Income Community,2011-2015
12123950300,Florida,Taylor,Low-Income Community,2011-2015
12125960200,Florida,Union,Low-Income Community,2011-2015
12127081000,Florida,Volusia,Low-Income Community,2011-2015
12127081700,Florida,Volusia,Low-Income Community,2011-2015
12127081800,Florida,Volusia,Low-Income Community,2011-2015
12127082000,Florida,Volusia,Low-Income Community,2011-2015
12127082100,Florida,Volusia,Low-Income Community,2011-2015
12127082301,Florida,Volusia,Low-Income Community,2011-2015
12127082401,Florida,Volusia,Low-Income Community,2011-2015
12127082415,Florida,Volusia,Low-Income Community,2011-2015
12127082511,Florida,Volusia,Low-Income Community,2011-2015
12127083008,Florida,Volusia,Low-Income Community,2011-2015
12127090500,Florida,Volusia,Low-Income Community,2011-2015
12127090600,Florida,Volusia,Low-Income Community,2011-2015
12129010202,Florida,Wakulla,Low-Income Community,2011-2015
12131950301,Florida,Walton,Low-Income Community,2011-2015
12133970104,Florida,Washington,Low-Income Community,2011-2015
13003960100,Georgia,Atkinson,Low-Income Community,2011-2015
13009970200,Georgia,Baldwin,Low-Income Community,2011-2015
13009970400,Georgia,Baldwin,Low-Income Community,2011-2015
13009970500,Georgia,Baldwin,Low-Income Community,2011-2015
13009970600,Georgia,Baldwin,Low-Income Community,2011-2015
13009970701,Georgia,Baldwin,Low-Income Community,2011-2015
13009970702,Georgia,Baldwin,Low-Income Community,2011-2015
13013180205,Georgia,Barrow,Low-Income Community,2011-2015
13017960100,Georgia,Ben Hill,Low-Income Community,2011-2015
13017960300,Georgia,Ben Hill,Low-Income Community,2011-2015
13017960400,Georgia,Ben Hill,Low-Income Community,2011-2015
13017960500,Georgia,Ben Hill,Low-Income Community,2011-2015
13019970400,Georgia,Berrien,Low-Income Community,2011-2015
13021010100,Georgia,Bibb,Low-Income Community,2011-2015
13021010400,Georgia,Bibb,Low-Income Community,2011-2015
13021010500,Georgia,Bibb,Low-Income Community,2011-2015
13021011000,Georgia,Bibb,Low-Income Community,2011-2015
13021011100,Georgia,Bibb,Low-Income Community,2011-2015
13021011500,Georgia,Bibb,Low-Income Community,2011-2015
13021012300,Georgia,Bibb,Low-Income Community,2011-2015
13021012400,Georgia,Bibb,Low-Income Community,2011-2015
13021012500,Georgia,Bibb,Low-Income Community,2011-2015
13021012600,Georgia,Bibb,Low-Income Community,2011-2015
13021012700,Georgia,Bibb,Low-Income Community,2011-2015
13021012800,Georgia,Bibb,Low-Income Community,2011-2015
13021012900,Georgia,Bibb,Low-Income Community,2011-2015
13021013800,Georgia,Bibb,Low-Income Community,2011-2015
13021013900,Georgia,Bibb,Low-Income Community,2011-2015
13023790200,Georgia,Bleckley,Low-Income Community,2011-2015
13027960300,Georgia,Brooks,Low-Income Community,2011-2015
13027960400,Georgia,Brooks,Low-Income Community,2011-2015
13031110200,Georgia,Bulloch,Low-Income Community,2011-2015
13031110401,Georgia,Bulloch,Low-Income Community,2011-2015
13031110403,Georgia,Bulloch,Low-Income Community,2011-2015
13031110404,Georgia,Bulloch,Low-Income Community,2011-2015
13031110500,Georgia,Bulloch,Low-Income Community,2011-2015
13031110602,Georgia,Bulloch,Low-Income Community,2011-2015
13033950100,Georgia,Burke,Low-Income Community,2011-2015
13033950200,Georgia,Burke,Low-Income Community,2011-2015
13033950400,Georgia,Burke,Low-Income Community,2011-2015
13037950100,Georgia,Calhoun,Low-Income Community,2011-2015
13037950200,Georgia,Calhoun,Low-Income Community,2011-2015
13043950100,Georgia,Candler,Low-Income Community,2011-2015
13043950300,Georgia,Candler,Low-Income Community,2011-2015
13045910501,Georgia,Carroll,Low-Income Community,2011-2015
13045910502,Georgia,Carroll,Low-Income Community,2011-2015
13051000100,Georgia,Chatham,Low-Income Community,2011-2015
13051000601,Georgia,Chatham,Low-Income Community,2011-2015
13051001100,Georgia,Chatham,Low-Income Community,2011-2015
13051001200,Georgia,Chatham,Low-Income Community,2011-2015
13051002100,Georgia,Chatham,Low-Income Community,2011-2015
13051002700,Georgia,Chatham,Low-Income Community,2011-2015
13051003301,Georgia,Chatham,Low-Income Community,2011-2015
13051010101,Georgia,Chatham,Low-Income Community,2011-2015
13051010901,Georgia,Chatham,Low-Income Community,2011-2015
13061960300,Georgia,Clay,Low-Income Community,2011-2015
13063040303,Georgia,Clayton,Low-Income Community,2011-2015
13063040306,Georgia,Clayton,Low-Income Community,2011-2015
13063040415,Georgia,Clayton,Low-Income Community,2011-2015
13065970100,Georgia,Clinch,Low-Income Community,2011-2015
13067030411,Georgia,Cobb,Low-Income Community,2011-2015
13067030412,Georgia,Cobb,Low-Income Community,2011-2015
13067030800,Georgia,Cobb,Low-Income Community,2011-2015
13067031001,Georgia,Cobb,Low-Income Community,2011-2015
13067031113,Georgia,Cobb,Low-Income Community,2011-2015
13069010500,Georgia,Coffee,Low-Income Community,2011-2015
13069010700,Georgia,Coffee,Low-Income Community,2011-2015
13069010802,Georgia,Coffee,Low-Income Community,2011-2015
13071970300,Georgia,Colquitt,Low-Income Community,2011-2015
13071970400,Georgia,Colquitt,Low-Income Community,2011-2015
13071970702,Georgia,Colquitt,Low-Income Community,2011-2015
13071970800,Georgia,Colquitt,Low-Income Community,2011-2015
13075960200,Georgia,Cook,Low-Income Community,2011-2015
13077170305,Georgia,Coweta,Low-Income Community,2011-2015
13077170601,Georgia,Coweta,Low-Income Community,2011-2015
13081010100,Georgia,Crisp,Low-Income Community,2011-2015
13081010201,Georgia,Crisp,Low-Income Community,2011-2015
13081010202,Georgia,Crisp,Low-Income Community,2011-2015
13087970400,Georgia,Decatur,Low-Income Community,2011-2015
13089020600,Georgia,DeKalb,Low-Income Community,2011-2015
13089021204,Georgia,DeKalb,Low-Income Community,2011-2015
13089021409,Georgia,DeKalb,Low-Income Community,2011-2015
13089021908,Georgia,DeKalb,Low-Income Community,2011-2015
13089021911,Georgia,DeKalb,Low-Income Community,2011-2015
13089022007,Georgia,DeKalb,Low-Income Community,2011-2015
13089022008,Georgia,DeKalb,Low-Income Community,2011-2015
13089022010,Georgia,DeKalb,Low-Income Community,2011-2015
13089023108,Georgia,DeKalb,Low-Income Community,2011-2015
13089023112,Georgia,DeKalb,Low-Income Community,2011-2015
